date_year,avgrate,ratecount,numberreviews,title,url
1988,4.13,197606, 5642,A Brief History of Time,3869.A_Brief_History_of_Time
1993,4.10,10722,246,Black Holes and Baby Universes and Other Essays,53200.Black_Holes_and_Baby_Universes
2001,4.13,26602,695,The Universe in a Nutshell,2095.The_Universe_in_a_Nutshell
2002,4.19,3944,59,On the Shoulders of Giants,32610.On_the_Shoulders_of_Giants
2002,4.12,9460,537,The Theory of Everything: The Origin and Fate of the Universe,449573.The_Theory_of_Everything 
2005,4.06,1634,59,God Created the Integers: The Mathematical Breakthroughs That Changed History,2096.God_Created_the_Integers 
2011,4.35,128,10,The Dreams That Stuff Is Made of: The Most Astounding Papers of Quantum Physics and How They Shook the Scientific World,8534601-the-dreams-that-stuff-is-made-of
2013,4.55,4708,618,My Brief History,18209305-my-brief-history 
1996,4.07,949,45,The Nature of Space and Time,2103.The_Nature_of_Space_and_Time
2002,3.90,280,11,The Future of Spacetime,2100.The_Future_of_Spacetime
2005,4.19,23938,950,A Briefer History of Time,2094.A_Briefer_History_of_Time
2010,4.02,50176,2107,The Grand Design,8520362-the-grand-design
2007,3.97,3822,524,George's Secret Key to the Universe,1111741.George_s_Secret_Key_to_the_Universe
2009,4.18,1366,124,George's Cosmic Treasure Hunt,5495650-george-s-cosmic-treasure-hunt
2011,4.20,810,60,George and the Big Bang ,12254770-george-and-the-big-bang
2014,4.32,228,18,George and the Unbreakable Code,18460086-george-and-the-unbreakable-code 
2016,4.35,105,6,George and the Blue Moon,25658494-george-and-the-blue-moon
