date,c10,ctot,title,journal
2000-08-15,177,216,Brane new world,PHYSICAL REVIEW D
2000-01-15,58,107,Charged and rotating AdS black holes and their CFT duals,PHYSICAL REVIEW D
1995-11-15,64,85,PROBABILITY FOR PRIMORDIAL BLACK-HOLES,PHYSICAL REVIEW D
1974-02-01,266,2596,BLACK-HOLE EXPLOSIONS,NATURE
1972-09-01,5,8,GRAVITATIONAL RADIATION - THEORETICAL ASPECT,CONTEMPORARY PHYSICS
1993-06-15,26,52,ORIGIN OF TIME ASYMMETRY,PHYSICAL REVIEW D
1984-08-01,167,350,THE COSMOLOGICAL CONSTANT IS PROBABLY ZERO,PHYSICS LETTERS B
1990-03-20,32,35,BABY UNIVERSES .2.,MODERN PHYSICS LETTERS A
2011-04-08,17,17,Local Observation in Eternal Inflation,PHYSICAL REVIEW LETTERS
2001-04-15,83,133,Trace anomaly driven inflation,PHYSICAL REVIEW D
2000-09-15,35,71,Gravitational waves in open de Sitter space,PHYSICAL REVIEW D
1995-11-15,76,159,DUALITY BETWEEN ELECTRIC AND MAGNETIC BLACK-HOLES,PHYSICAL REVIEW D
1993-02-04,47,68,SUPERSYMMETRIC BIANCHI MODELS AND THE SQUARE ROOT OF THE WHEELER-DEWITT EQUATION,PHYSICS LETTERS B
1977-01-01,112,381,GRAVITATIONAL INSTANTONS,PHYSICS LETTERS A
1973-04-01,74,1581,4 LAWS OF BLACK HOLE MECHANICS,COMMUNICATIONS IN MATHEMATICAL PHYSICS
1970-09-01,117,782,SINGULARITIES OF GRAVITATIONAL COLLAPSE AND COSMOLOGY,PROCEEDINGS OF THE ROYAL SOCIETY OF LONDON SERIES A-MATHEMATICAL AND PHYSICAL SCIENCES
1991-12-15,13,16,WORMHOLES IN STRING THEORY,PHYSICAL REVIEW D
1986-02-10,126,223,OPERATOR ORDERING AND THE FLATNESS OF THE UNIVERSE,NUCLEAR PHYSICS B
1984-04-01,28,44,NON-TRIVIAL TOPOLOGIES IN QUANTUM-GRAVITY,NUCLEAR PHYSICS B
1983-05-01,60,137,FLUCTUATIONS IN THE INFLATIONARY UNIVERSE,NUCLEAR PHYSICS B
1978-05-01,2,2,QUANTUM-MECHANICS OF BLACK-HOLES,CESKOSLOVENSKY CASOPIS PRO FYSIKU SEKCE A
1979-09-01,2,2,YANG-MILLS INSTANTONS AND THE S-MATRIX,NUCLEAR PHYSICS B
1973-10-01,2,4,ANALOGY BETWEEN BLACK-HOLE MECHANICS AND THERMODYNAMICS,ANNALS OF THE NEW YORK ACADEMY OF SCIENCES
1979-03-01,6,15,COSMIC CENSORSHIP - COMMENTS,GENERAL RELATIVITY AND GRAVITATION
1995-04-15,239,342,"ENTROPY, AREA, AND BLACK-HOLE PAIRS",PHYSICAL REVIEW D
1972-03-01,112,765,BLACK HOLES IN GENERAL RELATIVITY,COMMUNICATIONS IN MATHEMATICAL PHYSICS
1988-07-28,34,42,BABY UNIVERSES AND THE NON-RENORMALIZABILITY OF GRAVITY,PHYSICS LETTERS B
1989-11-09,42,87,BLACK-HOLES FROM COSMIC STRINGS,PHYSICS LETTERS B
1977-04-01,125,2019,ACTION INTEGRALS AND PARTITION-FUNCTIONS IN QUANTUM GRAVITY,PHYSICAL REVIEW D
1985-04-01,196,421,ORIGIN OF STRUCTURE IN THE UNIVERSE,PHYSICAL REVIEW D
1976-10-01,16,110,"NEW TOPOLOGY FOR CURVED SPACE-TIME WHICH INCORPORATES CAUSAL, DIFFERENTIAL, AND CONFORMAL STRUCTURES",JOURNAL OF MATHEMATICAL PHYSICS
1984-07-01,71,129,HIGHER DERIVATIVES IN QUANTUM COSMOLOGY .1. THE ISOTROPIC CASE,NUCLEAR PHYSICS B
1999-01-15,17,17,"Inflation, singular instantons, and eleven dimensional cosmology",PHYSICAL REVIEW D
1982-10-01,80,280,BUBBLE COLLISIONS IN THE VERY EARLY UNIVERSE,PHYSICAL REVIEW D
1987-02-02,33,110,A NATURAL MEASURE ON THE SET OF ALL UNIVERSES,NUCLEAR PHYSICS B
1980-06-01,47,97,QUANTUM GRAVITATIONAL BUBBLES,NUCLEAR PHYSICS B
1999-05-15,15,18,Lorentzian condition in quantum gravity,PHYSICAL REVIEW D
1976-08-01,92,1127,BREAKDOWN OF PREDICTABILITY IN GRAVITATIONAL COLLAPSE,PHYSICAL REVIEW D
1971-12-01,59,505,GRAVITATIONAL RADIATION FROM COLLIDING BLACK HOLES,PHYSICAL REVIEW LETTERS
1978-02-01,36,101,QUANTUM GRAVITY AND PATH INTEGRALS,PHYSICAL REVIEW D
